Person,Payment Card Number,Bank_Account_Number,IFSC,UPI_ID
Indranil Kumar,5083-9286-2211-9452,858812464464975,ABHY0065001,raviyuvraj@upi
Hiran Yadav,6574-2469-1264-1604,36389759699016,ABHY0065002,rkhosla@upi
Diya Dani,6031-3023-5762-5912,192396637677691,ABHY0065003,jaggiira@upi
Charvi Sankar,8175-4421-3190-3730,45995953743430,ABHY0065004,ayesha76@upi
Miraan Ramanathan,6013-1356-4542-2532,1528686347233550,ABHY0065005,dugaltrisha@upi
Zaina Bhagat,8297-6848-5919-0890,5431430465367120,ABHY0065006,ssampath@upi
Dhanuk Sharma,3536-4165-6977-6102,4439194865712360,ABHY0065007,anvivarty@upi
Tara Saran,8275-6789-9431-7810,4997132984321800,ABHY0065008,ikonda@upi
Advika Sinha,5080-1849-1425-1693,344331952441882,ABHY0065009,nehmatchaudry@upi
Eshani Maharaj,8179-9386-2105-9848,669813543025899,ABHY0065010,zoya54@upi
Pihu Kuruvilla,8258-0719-7898-3388,14732543136852,ABHY0065011,tiya98@upi
Tarini Subramaniam,3533-7816-6145-8260,4454520266119920,ABHY0065012,renee42@upi
Raunak Date,3532-5010-9929-0007,817120476083443,ABHY0065013,abhatnagar@upi
Samiha Chatterjee,3562-2843-4509-8275,1574142788136730,ABHY0065014,alia26@upi
Eva Ganesh,8260-7633-8176-5321,85695845609117,ABHY0065015,vivaanbal@upi
Siya Ravi,3560-6224-8302-3666,444251366246617,ABHY0065016,vdixit@upi
Zeeshan Goyal,5082-0503-1755-1146,315563738939165,ABHY0065017,chatterjeerati@upi
Romil Andra,8269-5694-5647-1666,228467809349243,ABHY0065018,aptehunar@upi
Dhanuk Badami,8168-8478-0289-6295,7478585036928630,ABHY0065019,deepmannat@upi
Jayan Bir,6077-6488-3933-8945,66227664484759,ABHY0065020,htella@upi
Lakshay Jha,3538-7156-1743-5019,66549568916462,ABHY0065021,ndutta@upi
Kismat Karan,5081-2023-3871-1677,24389185771252,ABHY0065022,wdhar@upi
Myra Keer,6518-2384-0254-4314,44111058074833,ABHY0065023,lagan93@upi
Saksham Barman,3562-5756-8132-9517,88493705478744,ABHY0065024,piya67@upi
Ivana Ratta,6550-4186-2566-9358,696987578940786,ABHY0065025,tiwarikashvi@upi
Piya Goda,6010-6045-5361-7402,84444332017914,ABHY0065026,kimayaguha@upi
Heer Bhat,8127-0565-5028-6952,87193145063749,ABHY0065027,rbrahmbhatt@upi
Tanya Banik,3560-6831-1101-4949,1778829591272050,ABHY0065028,advik96@upi
Armaan Bhakta,6023-6357-8572-2458,417538812838191,ABHY0065029,sahilsaha@upi
Piya Goel,8110-0323-7662-0053,21224020872875,ABHY0065030,manjari23@upi
Anaya Yadav,8260-0674-7133-1329,86795569188394,ABHY0065031,myrasuresh@upi
Mannat Balan,3531-3548-7203-9311,16785254885080,ABHY0065032,xbumb@upi
Ojas Sur,6056-1170-9923-5840,82771547876045,ABHY0065034,vihaandhar@upi
Renee Grover,6595-9177-7463-7071,7985332344763020,ABHY0065035,varkeynayantara@upi
Jayesh Saran,8284-6172-3974-7067,1338311649952660,ABHY0065036,bawavaibhav@upi
Divij Bath,6077-4578-7350-1461,96697818510630,ABHY0065037,ishita55@upi
Hiran Venkataraman,5084-0879-7198-0730,188512895774073,ABHY0065038,obandi@upi
Charvi Bandi,3538-5418-0181-8459,47996471020189,ABHY0065039,vidurkannan@upi
Hrishita Acharya,8238-2874-5961-8690,523427490280597,ABHY0065040,neysakannan@upi
Taran Chatterjee,6075-3785-8285-3328,9968168982166690,ABHY0065041,kcherian@upi
Manjari Srivastava,6018-8171-8108-1567,8181658306386830,ABHY0065042,kashvi76@upi
Stuvan Khalsa,6011-5109-3791-5322,822125559962075,ABHY0065043,baijurajagopalan@upi
Taimur Khanna,6567-9839-7502-5999,541892887160250,ABHY0065044,lbassi@upi
Madhup Contractor,3533-4663-8124-6787,221811743212020,ABHY0065045,elakshikrishnan@upi
Nayantara Dora,8294-4597-5399-8513,4898717641342450,ABHY0065046,mannat80@upi
Adah Swaminathan,3561-0171-3050-4110,332587988985576,ABHY0065047,ivan30@upi
Anya Mane,6018-9365-0327-9392,58798368463837,ABHY0065048,parinaaz17@upi
Badal Tandon,3533-2666-7514-3363,13194939750015,ABHY0065049,msunder@upi
Sana Dua,8169-8942-7196-1035,19719825965597,ABHY0065050,ivanlalla@upi
Lavanya Shere,3532-7065-9732-8668,514544547903640,ABHY0065051,majumdarshanaya@upi
Tiya De,6006-0246-3878-7797,5243103562305030,ABHY0065052,eshaniramaswamy@upi
Prisha Zachariah,8141-7134-9929-8892,774977959696114,ABHY0065053,fbera@upi
Navya Rao,8137-7065-4340-0684,468432513394867,ABHY0065054,sureshmiraya@upi
Mehul Dani,6025-5657-2906-3438,239865709698873,ABHY0065055,parinaaz40@upi
Alia Goyal,8194-7174-8998-6743,2853204931207350,ABHY0065056,madhavvarghese@upi
Shamik Dyal,8179-5288-8728-8544,2736209593859430,ABHY0065057,fcontractor@upi
Hridaan Ratti,6078-6397-6651-6990,556875864825149,ABHY0065058,savantdrishya@upi
Tara Bandi,6003-3456-1058-8223,631653832349961,ABHY0065059,ghoshtarini@upi
Sara Hora,8135-3812-9478-4025,93345360880011,ABHY0065060,hsur@upi
Mehul Bhatti,3568-8409-7532-8664,4328903024467260,ABHY0065061,mkala@upi
Dhanush Sachdeva,8154-9963-9738-9244,7698421926635780,ABHY0065062,ybansal@upi
Tanya Manne,6026-2639-4153-8283,279951224814733,ABHY0065063,bvarkey@upi
Kashvi Lanka,3563-0618-3501-5780,67822931259525,ABHY0065064,sarmarhea@upi
Shanaya Virk,3563-5941-4023-9596,699199012795727,ABHY0065065,tatakiara@upi
Hazel Wagle,8175-4743-0345-1693,833516451821668,ABHY0065066,garaarnav@upi
Hazel Sehgal,3569-5109-6713-2163,922549394437931,ABHY0065067,qbahl@upi
Mahika D’Alia,8249-7983-8066-3008,9193742063894030,ABHY0065068,sabharwallakshit@upi
Pari Ravi,3562-2904-2790-7911,962737002637428,ABHY0065069,suriaarav@upi
Emir Jayaraman,6018-5342-8569-4720,97334490648397,ABHY0065070,anvikuruvilla@upi
Jayesh Sastry,6015-6754-5674-1163,676520115156710,ABHY0065071,saravala@upi
Arnav Rao,5080-4492-2423-8395,761949937144948,ABHY0065072,godahridaan@upi
Divij Sama,6548-7170-5747-1372,279530713843492,ABHY0065073,nishith68@upi
Shayak Kadakia,6561-2547-7022-2868,3234132467374000,ABHY0065074,diya98@upi
Aarush Konda,5084-6209-7836-3672,76164758472081,ABHY0065075,badamiparinaaz@upi
Saira Upadhyay,8216-4838-2417-2408,218819187546044,ABHY0065076,tjhaveri@upi
Manikya Kant,8241-4032-7774-5913,194320936439622,ABHY0065077,skohli@upi
Kimaya Hora,5085-6241-4939-6545,429810306969553,ABHY0065099,hdass@upi
Kiaan Behl,3538-3634-4852-3974,23781815994687,ABHY0065102,skapadia@upi
Prisha Manne,8227-3737-6509-1369,6531622975962330,ABHY0065103,hrishitakapoor@upi
Baiju Uppal,3560-7641-1311-2574,3492393742086060,ABHY0065104,tbatra@upi
Anay Lad,6594-9050-0442-2175,982248325594311,ABHY0065105,raunak91@upi
Gatik Dhar,3532-7681-4882-7770,49473561183968,ABHY0065106,kanav72@upi
Charvi Kakar,5082-0046-6586-5699,87479245361593,ABHY0065107,bahriheer@upi
Yashvi Sachdev,6552-1696-3876-6446,6683839945236600,ABHY0065108,ramanmannat@upi
Jiya Srinivasan,5088-3089-4547-7744,574619275984079,ABHY0065109,gargkabir@upi
Armaan Jaggi,3533-3582-5191-6252,686471460869351,ABHY0065110,reyanshthakur@upi
Divit Sahni,6579-6601-2756-4069,4611556602373780,ABHY0065111,korpaladvika@upi
Aarush Sankar,5087-4375-9728-5609,521851966048772,ABHY0065112,jsrivastava@upi
Alisha Ravel,8129-2370-2005-2566,1286774794645490,ABHY0065113,fbath@upi
Charvi Sood,6061-3154-0729-1918,89387668078017,ABHY0065114,jgoswami@upi
Adira Lata,6053-8602-9581-8835,8432503964284830,ABHY0065115,gbawa@upi
Arhaan Mandal,6515-6639-0227-9512,857127563499118,ABHY0065116,loyaljivin@upi
Yuvaan Sanghvi,3536-9743-0230-5118,65327261748548,ABHY0065117,elakshijayaraman@upi
Lavanya Golla,5082-0034-1669-2824,17951496385753,ABHY0065118,pbath@upi
Lakshay Garde,5082-2831-4837-8393,742676559504793,ABHY0065119,kavya79@upi
Hridaan Seshadri,3565-6784-0335-2853,29174710756068,ABHY0065120,borravaibhav@upi
Tiya Soni,6005-9311-8674-1235,5913601408064750,ABHY0065121,schanda@upi
Neelofar Din,6522-4805-9563-4619,837841118423424,ABHY0065122,yuvaanaggarwal@upi
Dhanush Sundaram,8125-8642-1552-2766,61329164390125,ABHY0065123,anaybaral@upi
Kismat Kannan,8276-4124-3984-3092,95898500740165,ABHY0065124,kibedharmajan@upi
Vaibhav Rama,3535-0607-5356-0202,713449627149175,ABHY0065125,xkhosla@upi
Alia Bhatt,8282-0500-6594-0550,9129946683601150,ABHY0065126,tgola@upi
Zoya Ramachandran,6085-1707-8567-8877,6322768160928150,ABHY0065201,settyanya@upi
Alisha Chad,8291-8893-1299-5662,79643724484368,ABHY0065202,wyadav@upi
Dishani Sidhu,3538-1235-7573-0390,8676742734573020,ABHY0065203,lakshityohannan@upi
Farhan Ranganathan,5084-3368-9873-7008,35155776488859,ABHY0065204,malhotrarasha@upi
Shaan Dayal,8248-8974-4290-1330,4776977730689910,ABHY0065205,ehsaandhar@upi
Trisha Dugal,6534-5256-4656-2445,65377375187192,ABHY0065208,taratarini@upi
Anaya Konda,5080-4335-3235-5083,13231286501758,ABHY0065301,manjarimahal@upi
Badal Sodhi,6568-6902-7975-3783,1561609242392360,ABHY0065302,jaggiishaan@upi
Himmat Kaur,8212-8891-6743-1462,114275584825846,ABHY0065304,kallalakshit@upi
Devansh Dara,6563-8641-3914-6059,8674183923425980,ABHY0065305,gchoudhry@upi
Aarna Ahluwalia,6070-5091-4969-1364,2791250235907210,ABHY0065306,nseshadri@upi
Fateh Chatterjee,3534-5789-0846-0805,944557222026688,ADCC0000001,prisha59@upi
Shray Taneja,8297-8531-9606-2696,635929953400332,ADCC0000002,hegderyan@upi
Badal Rajan,8227-4708-8684-1282,86862885737301,ADCC0000003,riaan08@upi
Baiju Lal,5082-7171-5132-9769,587627183551571,ADCC0000004,lagan80@upi
Suhana Chada,6584-0625-6935-5770,67636862836424,ADCC0000005,stuvan46@upi
Taimur Bir,8158-5309-4187-4918,79483259367180,ADCC0000006,nehmat79@upi
Shray Master,6084-9445-4246-2036,99655027054568,ADCC0000007,vanya51@upi
Tara Walla,8145-2159-0396-8272,868548903493629,ADCC0000008,kismatkrishnan@upi
Mohanlal Bava,3539-3422-9197-8906,662542940975526,ADCC0000009,cheemaemir@upi
Drishya Keer,8296-6627-2890-3983,589753953747435,ADCC0000010,wsama@upi
Mishti Gill,6082-9742-0034-9805,6764213169072560,ADCC0000011,qgole@upi
Yuvaan Kumer,3561-1021-0900-5446,28553372064655,ADCC0000012,ivana96@upi
Rohan Sengupta,8218-4490-5628-9655,78524919070201,ADCC0000013,hrishitavasa@upi
Nakul Sastry,6032-5157-4224-0969,6277967159327150,ADCC0000014,sakshamsharma@upi
Reyansh Dhaliwal,3567-4149-7859-9951,17276952401029,ADCC0000015,xshanker@upi
Kabir Rana,8123-3591-2830-2424,936177463567663,ADCC0000016,darshit16@upi
Shayak Mangat,5082-2018-0383-3445,851543448208445,ADCC0000017,ivan60@upi
Anaya Ranganathan,8288-6435-0131-1453,821633229832784,ADCC0000018,yuvraj-71@upi
Tiya Manda,6520-7646-3233-3190,22114426426696,ADCC0000019,sumerdewan@upi
Ishaan Sahota,6591-3660-3514-9712,81374696434318,ADCC0000020,indranil48@upi
Keya Gandhi,6048-9339-9985-5714,997354647833426,ADCC0000021,devanshcontractor@upi
Advik Kalita,8198-2918-6585-6157,4747625291460790,ADCC0000022,latajiya@upi
Gatik Sood,3536-2659-8779-9323,4316120927596180,ADCC0000023,hrama@upi
Riya Sane,6042-1330-9939-0797,2551438945979570,ADCC0000024,bhavinissac@upi
Rati Sampath,6567-8889-6854-4973,65954386354221,ADCC0000025,siyamadan@upi
Ojas Sagar,6534-6059-4544-9856,222778276411821,ADCC0000026,pdoshi@upi
Darshit Sridhar,8197-5407-9043-6233,48989495278852,ADCC0000028,srinivaszoya@upi
Hrishita Taneja,3532-8453-0265-5328,816238692092267,ADCC0000029,neysawali@upi
Darshit Dhawan,3530-3252-1794-5876,318317249916606,ADCC0000030,siyabadami@upi
Yakshit Sarna,6525-8618-5417-5393,538135526377545,ADCC0000031,dayaltrisha@upi
Yasmin Chada,6560-7302-4821-7714,89165708922367,ADCC0000032,seher57@upi
Urvi Sandhu,3534-2142-3393-0300,454376107881134,ADCC0000033,adey@upi
Samaira Rana,6576-7873-1001-8497,38647682433141,ADCC0000034,veer84@upi
Aaina Devan,5082-3607-5640-5138,364362366219391,ADCC0000035,raunakramachandran@upi
Keya Gour,8236-8231-5105-4206,7116659642842400,ADCC0000036,daraarna@upi
Samaira Vora,6086-2773-1071-8117,55365190358153,ADCC0000037,wwali@upi
Indranil Gokhale,5088-0071-7943-6315,149565438336046,ADCC0000038,tiyagrewal@upi
Jayesh Ravel,3537-6912-1595-9372,87783948184784,ADCC0000039,nityasinha@upi
Taimur Kala,3563-0684-8009-1925,86163786911032,ADCC0000040,jchokshi@upi
Anahi Gokhale,5088-7895-1015-5254,33934361950005,ADCC0000041,stuvan18@upi
Tanya Balay,3532-7760-5226-0920,16997275284939,ADCC0000042,tdash@upi
Tejas Sachdeva,6527-8706-0938-1428,45182996806018,ADCC0000043,cshah@upi
Jivika Dayal,6002-5908-0879-8362,53928043255750,ADCC0000044,uandra@upi
Alia Goswami,3560-4860-2700-7738,931867240921263,ADCC0000045,dharmajan60@upi
Divyansh Sengupta,6595-7090-1228-9769,86363497853949,ADCC0000046,zachariagatik@upi
Taran Raju,3566-0336-1303-4645,7539290113512330,ADCC0000047,vritika49@upi
Kiara Buch,3534-1057-6672-0581,778889793885654,ADCC0000048,nsachdeva@upi
Hridaan Gade,6033-4343-7998-0377,321748597114190,ADCC0000049,dmani@upi
Urvi Gour,3568-4280-1732-4162,3129728432423650,ADCC0000050,gardemamooty@upi
Adira Bhandari,3532-5454-3888-7478,512286838020492,ADCC0000051,akarsh55@upi
Bhavin Jha,6540-6094-0455-6120,98248565887836,ADCC0000052,sbhandari@upi
Tara Rajagopal,3567-2185-4422-0095,163685908807346,ADCC0000053,kimaya13@upi
Aniruddh Kothari,8182-1496-5071-9865,4162188147582870,ADCC0000054,azad72@upi
Chirag Doshi,8250-1537-6448-5642,78415620846775,ADCC0000055,zoya03@upi
Himmat Rau,8202-0839-6049-1244,85922252921208,ADCC0000056,lgoda@upi
Kimaya Sant,6040-9832-2700-6141,6997512764085810,ADCC0000057,cvenkataraman@upi
Stuvan Som,3564-4893-4814-2669,23399697646260,ADCC0000058,wbhandari@upi
Prisha Buch,6531-0515-3542-8625,6786822725072460,ADCC0000059,kanav33@upi
Tara Rajagopalan,8144-8642-7266-1959,63583209724405,ADCC0000060,uthkarshgarde@upi
Advik Hari,6515-7712-1717-1918,27416583776947,ADCC0000061,aarnavaidya@upi
Rhea Das,3561-8935-7088-4430,95392856974431,ADCC0000062,jivika70@upi
Piya Kurian,6091-2778-4892-8819,157299910180762,ADCC0000064,chakrabortydevansh@upi
Divit Dubey,5082-0664-2247-8033,3164681720831570,ADCC0000065,kiarabandi@upi
Jayesh Kala,8151-9301-3292-1535,6917337488531100,ADCC0000066,cbadal@upi
Badal Kunda,5087-2133-2084-0360,225648590545248,ADCC0000067,singhela@upi
Nitya Brar,6516-3229-9746-2835,5566126625457700,ADCC0000068,mammenhansh@upi
Sana Dutt,3533-0684-9448-3420,3687894138492990,ADCC0000070,tusharmammen@upi
Saira Borra,5081-8906-7826-9197,948699026293329,ADCC0000071,kismat19@upi
